Task,model,feature,avg_ranking,avg_coefficient,list_coefficients,signal
Growth 1 year posts,7,work_x,0.02669466618471302,0.03573772874470234,"(-0.0204154308533395, -0.0591177976798469, -0.0310224101837511, -0.0676268957131767, 0.0231427925831255, 0.13977913840110598, 0.0768998208637714, 0.104213116696907, 0.0981807740326052, 0.0933441792996225)",+
Growth 1 year posts,7,posemo_y,0.025584287377345482,-0.05418064492777086,"(0.0240758260134039, -0.0611374604722388, -0.0170842563003148, -0.0186413808813603, 0.0120086322170635, -0.0883365464300207, -0.14892266250313901, -0.0823630310270925, -0.0304871934153579, -0.13091837647865198)",-
Growth 1 year posts,7,i_y,0.025528309599280784,0.06567974650613032,"(0.0315946718938095, 0.0693305297637854, 0.0945788171720219, 0.0465918180739384, 0.0152937623120369, 0.0329180757645421, 0.0365638055719706, 0.11070793238979901, 0.0893384026419503, 0.129879649477449)",+
Growth 1 year posts,7,conscientiousness_y,0.02515355801487924,-0.05301721264376017,"(-0.074481578851403, -0.0913468564464822, -0.0849141205175719, -0.0904888307435162, -0.0924537290851933, -0.0101971201165781, -0.0248488771282001, -0.0120634212540476, -0.0359229270031532, -0.0134546652914561)",-
Growth 1 year posts,7,median_posts_users,0.02471185189237927,-0.06861127120852024,"(0.0165698264982989, -0.0928071891319724, -0.0603352673775153, -0.0746333330478257, -0.0622756440534529, -0.0472599931537173, -0.0989305999632427, -0.0742801823747978, -0.0741495827068982, -0.11801074677407902)",-
Growth 1 year posts,7,differ_x,0.02453195210481988,0.062124182982029916,"(-0.00160802320677647, 0.0331461465763934, 0.0777237589024204, 0.0965625132198188, 0.0402704555684122, 0.10231937291966402, 6.854920478091321e-05, 0.11231227453215, 0.0804952536711521, 0.0799515284322838)",+
Growth 1 year posts,7,parents_bigger_than01,0.023992667956197006,-0.04240393030352245,"(-0.0310918249132246, -0.0729321416048685, -0.0122249271387922, 0.0320851382552073, 0.01896133036735, -0.0248446539211328, -0.00372310009159026, -0.0430642417304174, -0.115703510402498, -0.17150137185525802)",-
Growth 1 year posts,7,fraction_comments_replies,0.02346418951919846,-0.05389763100840376,"(-0.0398988005641313, -0.0576149802807935, -0.11940015136153698, -0.10528563384424601, -0.0604462769053743, 0.00770515495596375, -0.0695765307288518, -0.0538413377470168, -0.0247515118565402, -0.0158662417515104)",-
Growth 1 year posts,7,see_x,0.023438199196258887,0.05417414937529347,"(0.062417670019737, 0.0635327459345783, 0.07670211952683201, 0.0682252657830144, 0.10139498193143699, 0.10807923988571001, 0.0653273397562039, -0.0286292239483658, 0.0136795626617047, 0.0110117922020832)",+
Growth 1 year posts,7,money_y,0.023179066382867174,0.04570444931222425,"(0.0588561136068483, 0.129416598151696, 0.118537984339598, 0.0350723541391038, 0.0370109541987564, -0.0248561529357569, 0.0252045753108404, 0.0277333498042576, 0.0298039238161155, 0.0202647926907833)",+
Growth 1 year posts,7,std_karma_posts,0.022348755330645682,0.02822063819671768,"(0.0206340907302073, -0.0725286366855386, -0.0758695170769239, -0.0188336271328711, 0.0174413489082065, 0.14066671947740397, 0.101136540819922, 0.0635048399825804, 0.0702494245819482, 0.035805198362242004)",+
Growth 1 year posts,7,reward_x,0.021842269276152418,-0.044418404625589,"(0.00360750570276823, -0.0576674669650647, 0.0410797605126412, 0.0223611682764729, -0.0826085529353992, -0.0155620585695398, -0.11278140284577699, -0.0977771263725126, -0.0841607854436944, -0.0606750876157846)",-
Growth 1 year posts,7,achieve_x,0.021779405538687995,-0.054499096112882284,"(0.00250024975291375, -0.0103787399217287, -0.10143039709450699, -0.0791386367654191, -0.0704087575944022, -0.13862368541874898, -0.0590118399290161, -0.011446523301536001, -0.0162131434344671, -0.0608394874219114)",-
Growth 1 year posts,7,ipron_x,0.02070848945638862,0.03180089436458589,"(0.0688879624532824, 0.13094331128588, 0.0718600263532003, 0.00275417681434877, -0.0123943960545523, -0.0379010758126373, -0.00960288338447373, 0.0310001082731067, 0.0422945967518662, 0.0301671169658379)",+
Growth 1 year posts,7,home_y,0.020356906162585352,-0.0412262146759092,"(-0.00448303620518899, -0.00669006182767791, 0.0466500522681522, 0.0179572788483067, -0.0189409856455444, -0.0713871547422082, -0.0677792184028511, -0.117230492591846, -0.0488878556543793, -0.141470672805855)",-
Growth 1 year posts,7,discrep_y,0.02024843620273471,0.055171056589894685,"(0.0466782645228604, 0.030077707569481003, 0.0863392296584127, 0.0204725839978376, 0.0758639020266137, 0.138706546458987, 0.0696874073670575, 0.0700440123036186, 0.00781943559714138, 0.006021476396936971)",+
Growth 1 year posts,7,negate_x,0.019932121338837715,0.05663654393058235,"(0.00580872150773534, 0.0371428451966207, 0.00897367381860103, 0.0439843233498817, 0.0695625847745873, 0.0484101347657029, 0.130265452952053, 0.08089476523060901, 0.07511801269132, 0.0662049250187125)",+
Growth 1 year posts,7,focuspast_y,0.01976427297553045,-0.018795401382372588,"(-0.0440895605086973, -0.1172473654541, -0.10529963575143302, -0.0173147566287058, -0.0138266607894546, 0.0314949373874865, -0.0159722382585713, 0.0169400526977482, 0.00189086110121079, 0.0754703523807907)",-
Growth 1 year posts,7,risk_y,0.019667626631333302,0.0508541604438966,"(0.011071289991379001, 0.000463044583662164, 0.0269107380933902, 0.116394588785592, 0.0802665471393304, 0.0470125852903328, 0.0884751590924934, 0.0582011392331767, 0.0286183723136931, 0.0511281399159163)",+
Growth 1 year posts,7,article_x,0.019311202054528763,0.05522722092202183,"(0.00235764233053636, 0.0376494704129288, 0.0660982416285504, 0.0423849883330925, 0.0122502349130783, 0.0983304451519757, 0.0552617773440226, 0.119163084353086, 0.0563180517011584, 0.0624582730517893)",+
Growth 1 year posts,7,adj_y,0.01929218394236768,-0.05225949158133527,"(-0.012091790613139, -0.0513211934567647, -0.0570313898282794, -0.0759942076225084, -0.04136875404747, -0.134212589169548, -0.0943517445769602, -0.0753379135616335, 0.00013988776849986699, 0.0189747792944507)",-
Growth 1 year posts,7,density_parents,0.019220557855942594,0.02894485771127029,"(-0.0120283097451299, -0.0270972618533859, 0.0603334876795137, 0.0660749753701621, 0.0998142811734233, 0.119775225417702, 0.064463214748623, -0.00439572383107317, -0.0288601224455115, -0.0486311894016207)",+
Growth 1 year posts,7,parents_size_avg,0.01868254784496798,-0.04636682041662612,"(-0.0311893125953972, -0.01941568698607, 0.0291912226828603, -0.00264854931282109, -0.0778170591659694, -0.115120100943607, -0.0477312102888553, -0.0415646639049927, -0.11087347519684199, -0.0464993684545668)",-
Growth 1 year posts,7,median_comments_users,0.017982564697382273,-0.021122657832647603,"(-0.11089572052887801, 0.066508187504718, 0.00316576644557248, 0.0270017977646707, -0.0253841368128578, -0.0264700336652102, -0.0135496969337204, -0.0346505236536167, -0.0388687900179202, -0.0580834284292339)",-
Growth 1 year posts,7,health_y,0.017945960610949163,0.05325628808623054,"(0.0240287784814276, -0.0145412251909033, 0.00501903908191846, 0.0489907813703102, 0.0343775161853246, 0.113962420750523, 0.0576191784345149, 0.102513453128659, 0.0755462818235869, 0.085046656796944)",+
Growth 1 year posts,7,swear_y,0.01777115616132339,-0.04726070051056384,"(0.025737542865823998, -0.0667984412048678, -0.08735907523332401, -0.053410873482417, -0.0857383084022955, -0.0929971433590935, -0.0263527062615903, -0.044228201203021, 0.00127786082608217, -0.0427376596509354)",-
Growth 1 year posts,7,median_posts_length,0.017696500212014396,-0.031790052691687325,"(-0.0864312667593187, -0.10979514186176, -0.0183265589091434, -0.0224678345374066, -0.0523556213270264, -0.0329538580696784, -0.0242144711627122, -0.0248356490291635, -0.0022016718545459, 0.0556815465938818)",-
Growth 1 year posts,7,sexual_x,0.017666326064899717,0.02311008025363916,"(0.0317533401669211, 0.0433045726309653, 0.0698299010994781, 0.0145674033001258, -0.0793940557506235, -0.0658039921004764, -0.0315457653080042, 0.09347524337738901, 0.0565120672000143, 0.0984020879206021)",+
Growth 1 year posts,7,tentat_y,0.017589709268032508,0.049001168342440074,"(0.0885780229376557, 0.0601060760924692, 0.0702275295527941, 0.020233569102417002, 0.0209796424123987, 0.0224799618338371, 0.0436374763735633, 0.0282445913219547, 0.029893259412137996, 0.10563155438517301)",+
Growth 1 year posts,7,focuspresent_x,0.017509062307322933,0.039359217030932495,"(0.00150903413393079, 0.009415482641324559, -0.0297935284228596, -0.0296011603744375, 0.0518646345708217, 0.0707804526889662, 0.0359279842736454, 0.0494230887405463, 0.0922956593997051, 0.141770522657682)",+
Growth 1 year posts,7,female_x,0.017337729793331834,0.050682056556259736,"(0.0682043568332721, 0.0333024714500208, 0.0257133665808755, 0.0675139885632552, 0.0645150559297478, 0.10835620795836899, 0.0376219860483951, 0.059733451345969, 0.0552480661931764, -0.0133883853404835)",+
Growth 1 year posts,7,nonflu_y,0.01733441096141209,0.04449350262223238,"(0.0203129740277011, 0.0036595253901552205, -0.000543311514393692, 0.0296385264473412, 0.0278886134379266, 0.042469722338925, 0.0416644018834663, 0.0520985337015401, 0.116058784980755, 0.11168725552890699)",+
Growth 1 year posts,7,affiliation_x,0.017260885977813036,0.03658832858455476,"(0.00191617706567388, 0.0128813879475658, -0.0339114760468938, -0.0438610882261774, 0.033039216920881, 0.0507873741309436, 0.110920763348105, 0.0893025683421928, 0.0356884082916597, 0.109119954071597)",+
Growth 1 year posts,7,conscientiousness_x,0.017170269674324685,0.04470476703096408,"(0.0195842993204247, 0.0201460940536077, 0.055499927132489996, 0.0232903573766895, 0.101448811717776, 0.0905995092601936, 0.0477990693211114, 0.0317820871884681, 0.0730498124792483, -0.0161522975403685)",+
Growth 1 year posts,7,compare_x,0.017026343927270017,0.031134825027648815,"(-0.0176585849223631, -0.0385360290908097, 0.0994849538382878, 0.0636235480068786, 0.0594604156870626, -0.0119867585552453, 0.0896569195596398, 0.0623042980405837, -0.0111167379917738, 0.0161162257042276)",+
Growth 1 year posts,7,compare_y,0.016748282184416763,0.03551280116886291,"(-0.0320340813284193, 0.0373245799071869, 0.12089544636974302, 0.0043644795814452705, 0.0728117060327202, 0.0554696831168934, 0.0345639105424664, 0.0519550692247349, 0.000714592788680483, 0.00906262545317789)",+
Growth 1 year posts,7,cogproc_x,0.016487262831577212,0.041967705562599246,"(-0.0195779317014805, -0.0013335333252075, 0.0523589726233174, 0.0926706463618502, 0.05761899528189, 0.110780579351471, 0.0637281904045643, 0.0389561230067599, 0.0213555062977558, 0.0031195073250718896)",+
Growth 1 year posts,7,i_x,0.015998020352153353,0.04513449068598041,"(-0.0313370663941686, 0.0215044606749857, -0.0131951898136272, 0.0280300088823716, 0.0468973932475799, 0.0560969964939897, 0.0888100430092221, 0.0618583448738223, 0.0744850106951806, 0.11819490519044802)",+
Growth 1 year posts,7,certain_y,0.01599297003931819,-0.044266616443345744,"(-0.0284850557083806, -0.0983373065679847, -0.0441009773679492, -0.0369398745410524, -0.0187261795343092, -0.00608013458109304, -0.0163309178978468, -0.0946869702457993, -0.0609183990429568, -0.0380603489460854)",-
Growth 1 year posts,7,money_x,0.015901679584000534,0.04325911036312143,"(0.0263756813963033, 0.0763669513757729, 0.00357567161453404, 0.0830268453756113, -0.00481611211756706, 0.057659398835108996, 0.0610793297752498, 0.000307261067703106, 0.0331455029395607, 0.0958705733689372)",+
Growth 1 year posts,7,motion_y,0.01583585112777307,-0.024340225543413002,"(0.0490668061725795, -0.0409910486095691, -0.0128427684699116, 0.0628051224554015, -0.0848464781175111, -0.0712336574064358, -0.0481980970331106, -0.0507142308925217, -0.0497393795099893, 0.00329147597693817)",-
Growth 1 year posts,7,adj_x,0.015759966791606263,0.04027203819715634,"(0.0182602091293474, 0.0894406366230742, 0.0320991099388709, 0.061502785511895995, 0.0878810175563158, 0.008595029503894841, -0.00898002038460693, 0.0233541056569659, 0.0116916898652543, 0.078875818570551)",+
Growth 1 year posts,7,anger_x,0.015386127917500584,-0.040414534043724235,"(-0.0067499626122682, 0.00658658698428611, -0.0250499556343773, -0.0265312442700595, -0.0253184992267048, -0.14210703278033598, -0.0468042777890818, -0.0899414770382685, -0.0415897698966955, -0.00663970817373689)",-
Growth 1 year posts,7,bio_x,0.015159839863448182,0.03973720095101425,"(-0.0338694102234824, 0.0196542887600077, 0.0472875355020935, 0.0364984663990159, 0.0226859112408878, 0.13382483011569302, 0.0954544525143397, 0.0533878011649196, 0.007292775276164, 0.0151553587605036)",+
Growth 1 year posts,7,quant_x,0.015107962471136046,-0.024990924093958776,"(0.0158276054897601, 0.0696016982006895, -0.05885526159049201, -0.00848921738745923, -0.00392261112872023, 0.009750641483455409, -0.0575224373970652, -0.0504986633623972, -0.0312363139226039, -0.13456468132475502)",-
Growth 1 year posts,7,insight_x,0.0150719617677188,-0.03513603330681829,"(0.0449191791598281, -0.0170047106283444, 0.0114704353378902, -0.0338554509495767, -0.0307868055279112, -0.0373265989916858, -0.0192135790875406, -0.0970926015597683, -0.0546339303817002, -0.117836270439374)",-
Growth 1 year posts,7,neuroticism_x,0.015052249201766687,0.02570629794613167,"(0.0883781928393511, 0.062550305337391, 0.0326913929571269, 0.0186841106569382, 0.0274479601286387, -0.00816992534768516, 0.0171707820175077, -0.0483237530668725, 0.0700143451088923, -0.00338043116997158)",+
Growth 1 year posts,7,filler_x,0.015005866768100857,0.04055700003041819,"(0.00324065287258732, 0.00211363659562705, -0.0192423890735438, 0.0105798807461162, 0.0513433792397137, 0.10390288832199801, 0.0547140892125689, 0.024903575896488, 0.0984845652782706, 0.0755297212143559)",+
