Task,model,feature,avg_ranking,avg_coefficient,list_coefficients,signal
Retention,7,num_comments,0.04131638585017652,-0.08308978037741326,"(-0.0464797238731295, -0.0294169567797567, -0.0599414089925035, -0.0796283641501791, -0.27174572763934696, -0.06309651919250499, -0.0624243402700831, -0.0574861607937696, -0.0165197050071572, -0.14415889707570198)",-
Retention,7,focusfuture_y,0.04028313464807634,-0.08070706554479232,"(-0.100765794166259, -0.14760641506570002, -0.114922355247606, -0.10543444472198499, -0.0933370293142477, -0.0546241106393862, -0.0309698568600518, 0.0134211152486723, -0.0867730177902664, -0.0860587468910934)",-
Retention,7,fraction_biggest_connected,0.04019064762316512,-0.038121181885994546,"(-0.12026307748334501, -0.150819777236313, -0.0860881337850814, -0.101917625742676, -0.0925731475390536, -0.0116775123163445, 0.0308471015331779, 0.0146939263791241, 0.0426768183972301, 0.0939096089333358)",-
Retention,7,we_y,0.03654696941055114,-0.08597614797061276,"(0.000675613782665148, -0.0344376702838181, -0.0861278086501727, -0.15826046665687302, -0.0789365562413088, -0.10125700452431802, -0.0815610274640478, -0.0913704101069354, -0.116804459489582, -0.111681690071737)",-
Retention,7,tentat_y,0.03652059752489442,0.030389096403859072,"(0.105609180260699, 0.21513911817630302, 0.0649664685931387, 0.0782015641338177, -0.0517962172836701, -0.0608925540841465, -0.0244558711521738, -0.022518164474476004, 0.0148750001673096, -0.0152375602982108)",+
Retention,7,conj_x,0.03591185701187018,0.08570483203788018,"(0.0606289343378298, 0.0394690321793774, 0.0993233032494699, 0.080700645873016, 0.0407192586984638, 0.0875744754646285, 0.0938878534996196, 0.174569013448052, 0.0784044096319128, 0.101771393996432)",+
Retention,7,distance_parents,0.03360506793063769,0.07347650036824963,"(0.0232059039858263, 0.0323973246335441, 0.0788711982209745, 0.116662665872984, -0.00403354325340631, 0.12607798698894598, 0.0525154943138464, 0.0855063875501832, 0.118796681745692, 0.10476490362390599)",+
Retention,7,they_x,0.031525301136872255,0.06397537662046518,"(0.0152486703808107, 0.0746034735848735, 0.132082841811601, 0.0815858697976386, 0.0678662407331998, 0.0277567845953693, 0.11643905086524099, 0.0262875632113371, 0.111710930519364, -0.0138276592947832)",+
Retention,7,informal_x,0.031087783950261117,-0.07536143555903266,"(-0.0231712138012948, -0.0483618689571321, -0.0571863677692048, -0.068327461254643, -0.0252683442152861, -0.11430337212721602, -0.09442120541884501, -0.13921006074436498, -0.0751005337392088, -0.10826392756313101)",-
Retention,7,netspeak_x,0.030679066866716165,-0.07475332096207303,"(-0.0456826585627163, -0.0269782742757741, -0.0651743805043591, -0.0508832248254338, -0.0210547785953968, -0.10386207922066301, -0.123793932248721, -0.138160902083273, -0.0689072187144914, -0.10303576058990199)",-
Retention,7,median_len_comemnts,0.03018062254887478,-0.027982328041041983,"(-0.0804449197509724, -0.0281667488070624, -0.0916450269650112, -0.0128917261341454, 0.208589135517709, -0.0503963179580816, -0.0504388900050588, -0.0845834561114831, -0.0319630605802473, -0.0578822696160666)",-
Retention,7,transitivity_parents,0.030178213906716635,-0.07224990196871803,"(-0.0318563878296579, -0.12893384626194002, -0.0871761705059339, -0.167631795872054, -0.0765260384478611, -0.0417100247556534, -0.0569519941262786, -0.0775505845914119, -0.0347789052990853, -0.0193832719973041)",-
Retention,7,discrep_y,0.030034394524688528,-0.03455123178470182,"(-0.00305710819434276, -0.0528448910725833, 0.0513051148753199, 0.0618314632410652, 0.0278154819819845, -0.0451604782271929, -0.0402689408836571, -0.0847256646484058, -0.161343044913384, -0.0990642500058219)",-
Retention,7,avg_gap_posts,0.03000635986505947,0.027669902195274015,"(0.0140180434738985, -0.0354598301717654, -0.0132649829616397, -0.0487005775286058, -0.00950048337494587, 0.138670329678159, 0.0121176106785165, 0.0149622124841219, 0.05026818420403901, 0.153588515470962)",+
Retention,7,achieve_y,0.02993164523445648,-0.06768440708749215,"(-0.11540567860202301, -0.0844123439537131, -0.0559797253078664, -0.115598493682276, -0.0423489162618777, -0.072653250036602, -0.0644367223710165, -0.0702497121623356, -0.00440446516453079, -0.0513547633326806)",-
Retention,7,focuspresent_x,0.029837849955993024,0.02282407887859026,"(-0.0320965542310616, -0.0685069865730396, -0.0784251258657572, -0.0371471360409449, -0.0661014015986866, 0.0851326123482399, 0.0816497353541258, 0.134039640408888, 0.114243420709972, 0.0954525842741668)",+
